Home Team,Away Team,HT Goals,AT Goals,Match Result,HT Avg Scored Goals,HT Avg Conceded Goals,HT GF,HT GA,AT Avg Scored Goals,AT Avg Conceded Goals,AT GF,AT GA
19,9,1,1,D,0.8947368421,2.131578947,34,81,1.342105263,1.263157895,51,48
6,5,2,2,D,1.710526316,1.421052632,65,54,1.921052632,1.342105263,73,51
4,16,3,1,H,1.763157895,1.026315789,67,39,1.184210526,1.710526316,45,65
7,3,2,1,H,1.236842105,1.210526316,47,46,1.657894737,1.026315789,63,39
5,20,1,0,H,1.921052632,1.342105263,73,51,0.5789473684,2,22,76
14,2,0,4,A,1.473684211,1.842105263,56,70,2.342105263,0.5789473684,89,22
15,17,1,0,H,1.184210526,1.789473684,45,68,0.9210526316,1.578947368,35,60
18,16,1,0,H,0.8947368421,1.815789474,34,69,1.184210526,1.710526316,45,65
3,1,2,0,H,1.657894737,1.026315789,63,39,2.5,0.6052631579,95,23
9,4,0,2,A,1.342105263,1.263157895,51,48,1.763157895,1.026315789,67,39
6,19,4,1,H,1.710526316,1.421052632,65,54,0.8947368421,2.131578947,34,81
10,12,3,2,H,1.368421053,1.447368421,52,55,1.342105263,1.394736842,51,53
13,7,1,2,A,1.105263158,1.263157895,42,48,1.236842105,1.210526316,47,46
8,11,2,2,D,1.421052632,1.210526316,54,46,1.368421053,1.552631579,52,59
